Hard Skills,Soft Skills,Capabilities,Skill Mappings,Number of mappings
Research,Design Thinking,User Centred Design,"Research, UX Writing, Interaction Design, UI Design, Empathy",5
UX Writing,Critical Thinking,Decision Making,"Research, Domain Knowledge, Collaboration",3
Interaction Design,Adaptability,Problem Solving,"Research, Design Thinking, Critical Thinking",3
UI Design,Influence,Tenacity,Adaptability,1
Domain Knowledge,Communication,Leadership,"Influence, Communication, Collaboration",3
Prototyping,Collaboration,Technical Proficiency,"Prototyping, Technical Knowledge, Design Thinking",3
Technical Knowledge,Empathy,Stakeholder Management,"Domain Knowledge, Influence, Communication, Collaboration",4
